block,line,page,text,word_no,x0,x1,y0,y1
0,0,1,COMIDA,0,189.62789916992188,261.4959716796875,687.5505981445312,710.172607421875
0,0,1,VENEZOLANA,1,265.30224609375,385.4682922363281,687.5505981445312,710.172607421875
1,0,1,MENÚ,0,179.02780151367188,396.54473876953125,337.4263610839844,429.53265380859375
0,0,2,CACHAPA,0,122.9384994506836,180.55169677734375,397.89019775390625,413.0942077636719
0,0,2,CON,1,183.43170166015625,210.6237030029297,397.89019775390625,413.0942077636719
0,0,2,SOLOMO,2,213.5037078857422,266.56768798828125,397.89019775390625,413.0942077636719
0,0,2,"c9,500",3,269.44769287109375,306.98492431640625,397.89019775390625,413.0942077636719
0,1,2,Deliciosa,0,96.50199890136719,138.3920135498047,414.72119140625,427.3211975097656
0,1,2,Cachapa,1,143.45201110839844,183.072021484375,414.72119140625,427.3211975097656
0,1,2,de,2,188.13201904296875,199.73202514648438,414.72119140625,427.3211975097656
0,1,2,maíz,3,204.79202270507812,226.5320281982422,414.72119140625,427.3211975097656
0,1,2,tierno,4,231.59202575683594,259.2820129394531,414.72119140625,427.3211975097656
0,1,2,rellena,5,264.342041015625,295.3511047363281,414.72119140625,427.3211975097656
0,1,2,de,6,300.4111328125,312.0111389160156,414.72119140625,427.3211975097656
0,2,2,queso,0,96.50199890136719,125.11199188232422,426.15118408203125,438.7511901855469
0,2,2,de,1,127.96199035644531,139.56199645996094,426.15118408203125,438.7511901855469
0,2,2,"mano,",2,142.4119873046875,171.77200317382812,426.15118408203125,438.7511901855469
0,2,2,acompañada,3,174.6219940185547,234.08201599121094,426.15118408203125,438.7511901855469
0,2,2,de,4,236.9320068359375,248.53201293945312,426.15118408203125,438.7511901855469
0,2,2,jugosa,5,251.3820037841797,282.15203857421875,426.15118408203125,438.7511901855469
0,2,2,punta,6,285.0020446777344,312.0021057128906,426.15118408203125,438.7511901855469
0,3,2,de,0,96.50199890136719,108.10199737548828,437.5811767578125,450.1811828613281
0,3,2,Solomo,1,113.08199310302734,148.70199584960938,437.5811767578125,450.1811828613281
0,3,2,a,2,153.68199157714844,159.0019989013672,437.5811767578125,450.1811828613281
0,3,2,la,3,163.98199462890625,171.78199768066406,437.5811767578125,450.1811828613281
0,3,2,parrilla,4,176.76199340820312,208.13198852539062,437.5811767578125,450.1811828613281
0,3,2,y,5,213.1119842529297,218.6119842529297,437.5811767578125,450.1811828613281
0,3,2,nuestra,6,223.59197998046875,258.7619934082031,437.5811767578125,450.1811828613281
0,3,2,guasacaca,7,263.74200439453125,312.0020446777344,437.5811767578125,450.1811828613281
0,4,2,parrillera.,0,268.56201171875,312.0021057128906,449.01116943359375,461.6111755371094
1,0,2,CACHAPA,0,262.2392883300781,319.85247802734375,509.78668212890625,524.9906616210938
1,0,2,CON,1,322.73248291015625,349.92449951171875,509.78668212890625,524.9906616210938
1,0,2,CERDO,2,352.80450439453125,394.0845031738281,509.78668212890625,524.9906616210938
1,0,2,"c8,800",3,396.9645080566406,436.2885437011719,509.78668212890625,524.9906616210938
2,0,2,Deliciosa,0,262.2051086425781,304.09515380859375,527.3384399414062,539.9384155273438
2,0,2,Cachapa,1,306.30517578125,345.92523193359375,527.3384399414062,539.9384155273438
2,0,2,de,2,348.13525390625,359.7352600097656,527.3384399414062,539.9384155273438
2,0,2,maíz,3,361.9452819824219,383.685302734375,527.3384399414062,539.9384155273438
2,0,2,tierno,4,385.89532470703125,413.58538818359375,527.3384399414062,539.9384155273438
2,0,2,rellena,5,415.79541015625,446.80548095703125,527.3384399414062,539.9384155273438
2,0,2,de,6,449.0155029296875,460.6155090332031,527.3384399414062,539.9384155273438
2,1,2,queso,0,262.2051086425781,290.81512451171875,538.7684326171875,551.368408203125
2,1,2,de,1,294.255126953125,305.8551330566406,538.7684326171875,551.368408203125
2,1,2,"mano,",2,309.2951354980469,338.6551818847656,538.7684326171875,551.368408203125
2,1,2,acompañada,3,342.0951843261719,401.5552673339844,538.7684326171875,551.368408203125
2,1,2,de,4,404.9952697753906,416.59527587890625,538.7684326171875,551.368408203125
2,1,2,crujiente,5,420.0352783203125,460.6053466796875,538.7684326171875,551.368408203125
2,2,2,cerdo,0,262.2051086425781,288.46514892578125,550.1984252929688,562.7984008789062
2,2,2,frito,1,290.8851623535156,310.3462219238281,550.1984252929688,562.7984008789062
2,2,2,y,2,312.7662353515625,318.2662353515625,550.1984252929688,562.7984008789062
2,2,2,nuestra,3,320.6862487792969,355.8562927246094,550.1984252929688,562.7984008789062
2,2,2,guasacaca,4,358.27630615234375,406.5363464355469,550.1984252929688,562.7984008789062
2,2,2,parrillera.,5,408.95635986328125,452.3964538574219,550.1984252929688,562.7984008789062
3,0,2,CACHAPA,0,86.40139770507812,144.0146026611328,621.8560180664062,637.0599975585938
3,0,2,CON,1,146.8946075439453,174.08660888671875,621.8560180664062,637.0599975585938
3,0,2,QUESO,2,176.96661376953125,219.026611328125,621.8560180664062,637.0599975585938
3,0,2,"c6,500",3,221.9066162109375,260.5946350097656,621.8560180664062,637.0599975585938
4,0,2,Deliciosa,0,87.08589935302734,128.9759063720703,637.9682006835938,650.5681762695312
4,0,2,Cachapa,1,131.39590454101562,171.0159149169922,637.9682006835938,650.5681762695312
4,0,2,de,2,173.4359130859375,185.03591918945312,637.9682006835938,650.5681762695312
4,0,2,maíz,3,187.45591735839844,209.1959228515625,637.9682006835938,650.5681762695312
4,0,2,tierno,4,211.6159210205078,239.30592346191406,637.9682006835938,650.5681762695312
4,0,2,rellena,5,241.72592163085938,272.73492431640625,637.9682006835938,650.5681762695312
4,1,2,de,0,87.08589935302734,98.68589782714844,649.398193359375,661.9981689453125
4,1,2,queso,1,101.10589599609375,129.7158966064453,649.398193359375,661.9981689453125
